sequence,visit_day,request_wave,priority,chapter,cluster_title,request_identifier,request_type,source_part,office,visit_goal,why_it_matters,first_onsite_action,onsite_actions,target_terms,capture_folder_title,capture_box_or_container,capture_item_title,capture_item_date,capture_sender_recipient,capture_document_type,capture_classification_markings,capture_page_range,capture_attachments,capture_withdrawal_or_redaction_notes,capture_volume_boundary,candidate_disposition,final_source_note,source_note
54,Day 1,Day 1 / 09.05,A,Regional Proliferation Cases,"Technology transfers to China, ACDA, and missile proliferation",OA/ID 1812,OA/ID request,Parts 1 and 3,Access Management / William Leary; Strategic Planning; Office of the National Security Advisor,Use the Access Management China technology-transfer folders to build a China nonproliferation lane without getting lost in campaign-finance material.,"The current project has only weak China proliferation coverage. These rows expose ACDA, DoD, DoS, CIA, State, redaction sets, and missile-proliferation source paths.",Request 1993-1996 redacted/copy sets first: OA/ID 1797 and 1808.,"Request 1993-1996 redacted/copy sets first: OA/ID 1797 and 1808.; Then pull OA/ID 1809-1813 State, DoD, DoS, CIA, and other third-agency documents.; Use OA/ID 1822 ACDA, Helms/Lott amendment, China Satellites, and Missile Proliferation rows as the targeted nonproliferation subset.",China; technology transfer; ACDA; missile proliferation; satellites; DoD; DoS; CIA,,,,,,,,,,,,,,"Source: Clinton Presidential Library, 2013-0185-M folder-title lists, Parts 1 and 3, OA/ID 1812. Folder-title request lead; verify exact box, folder title, item date, classification, and pagination on site."
55,Day 1,Day 1 / 09.06,A,Regional Proliferation Cases,"Technology transfers to China, ACDA, and missile proliferation",OA/ID 1813,OA/ID request,Parts 1 and 3,Access Management / William Leary; Strategic Planning; Office of the National Security Advisor,Use the Access Management China technology-transfer folders to build a China nonproliferation lane without getting lost in campaign-finance material.,"The current project has only weak China proliferation coverage. These rows expose ACDA, DoD, DoS, CIA, State, redaction sets, and missile-proliferation source paths.",Request 1993-1996 redacted/copy sets first: OA/ID 1797 and 1808.,"Request 1993-1996 redacted/copy sets first: OA/ID 1797 and 1808.; Then pull OA/ID 1809-1813 State, DoD, DoS, CIA, and other third-agency documents.; Use OA/ID 1822 ACDA, Helms/Lott amendment, China Satellites, and Missile Proliferation rows as the targeted nonproliferation subset.",China; technology transfer; ACDA; missile proliferation; satellites; DoD; DoS; CIA,,,,,,,,,,,,,,"Source: Clinton Presidential Library, 2013-0185-M folder-title lists, Parts 1 and 3, OA/ID 1813. Folder-title request lead; verify exact box, folder title, item date, classification, and pagination on site."
56,Day 1,Day 1 / 09.07,A,Regional Proliferation Cases,"Technology transfers to China, ACDA, and missile proliferation",OA/ID 1822,OA/ID request,Parts 1 and 3,Access Management / William Leary; Strategic Planning; Office of the National Security Advisor,Use the Access Management China technology-transfer folders to build a China nonproliferation lane without getting lost in campaign-finance material.,"The current project has only weak China proliferation coverage. These rows expose ACDA, DoD, DoS, CIA, State, redaction sets, and missile-proliferation source paths.",Request 1993-1996 redacted/copy sets first: OA/ID 1797 and 1808.,"Request 1993-1996 redacted/copy sets first: OA/ID 1797 and 1808.; Then pull OA/ID 1809-1813 State, DoD, DoS, CIA, and other third-agency documents.; Use OA/ID 1822 ACDA, Helms/Lott amendment, China Satellites, and Missile Proliferation rows as the targeted nonproliferation subset.",China; technology transfer; ACDA; missile proliferation; satellites; DoD; DoS; CIA,,,,,,,,,,,,,,"Source: Clinton Presidential Library, 2013-0185-M folder-title lists, Parts 1 and 3, OA/ID 1822. Folder-title request lead; verify exact box, folder title, item date, classification, and pagination on site."
57,Day 1,Day 1 / 09.08,A,Regional Proliferation Cases,"Technology transfers to China, ACDA, and missile proliferation",OA/ID 773,OA/ID request,Parts 1 and 3,Access Management / William Leary; Strategic Planning; Office of the National Security Advisor,Use the Access Management China technology-transfer folders to build a China nonproliferation lane without getting lost in campaign-finance material.,"The current project has only weak China proliferation coverage. These rows expose ACDA, DoD, DoS, CIA, State, redaction sets, and missile-proliferation source paths.",Request 1993-1996 redacted/copy sets first: OA/ID 1797 and 1808.,"Request 1993-1996 redacted/copy sets first: OA/ID 1797 and 1808.; Then pull OA/ID 1809-1813 State, DoD, DoS, CIA, and other third-agency documents.; Use OA/ID 1822 ACDA, Helms/Lott amendment, China Satellites, and Missile Proliferation rows as the targeted nonproliferation subset.",China; technology transfer; ACDA; missile proliferation; satellites; DoD; DoS; CIA,,,,,,,,,,,,,,"Source: Clinton Presidential Library, 2013-0185-M folder-title lists, Parts 1 and 3, OA/ID 773. Folder-title request lead; verify exact box, folder title, item date, classification, and pagination on site."
58,Day 1,Day 1 / 09.09,A,Regional Proliferation Cases,"Technology transfers to China, ACDA, and missile proliferation",OA/ID 1493,OA/ID request,Parts 1 and 3,Access Management / William Leary; Strategic Planning; Office of the National Security Advisor,Use the Access Management China technology-transfer folders to build a China nonproliferation lane without getting lost in campaign-finance material.,"The current project has only weak China proliferation coverage. These rows expose ACDA, DoD, DoS, CIA, State, redaction sets, and missile-proliferation source paths.",Request 1993-1996 redacted/copy sets first: OA/ID 1797 and 1808.,"Request 1993-1996 redacted/copy sets first: OA/ID 1797 and 1808.; Then pull OA/ID 1809-1813 State, DoD, DoS, CIA, and other third-agency documents.; Use OA/ID 1822 ACDA, Helms/Lott amendment, China Satellites, and Missile Proliferation rows as the targeted nonproliferation subset.",China; technology transfer; ACDA; missile proliferation; satellites; DoD; DoS; CIA,,,,,,,,,,,,,,"Source: Clinton Presidential Library, 2013-0185-M folder-title lists, Parts 1 and 3, OA/ID 1493. Folder-title request lead; verify exact box, folder title, item date, classification, and pagination on site."
59,Day 2,Day 2 / 10.01,B,Counterproliferation,Intelligence Programs counterproliferation and restricted-group files,OA/ID 2483,OA/ID request,Part 2,"Intelligence Programs / George Tenet, Rand Beers, Don Mitchell, Edward Appel",Use Intelligence Programs folders to replace generic counterproliferation chron-file hits with IC-facing policy and threat-assessment records.,"Counterproliferation needs intelligence support, WMD threat, and regional target records, not only PDD/NSC-18 public text.","Pull OA/ID 2498 Counterproliferation, 1996 and OA/ID 2523 Restricted Group Meeting (Nonproliferation), 1995.","Pull OA/ID 2498 Counterproliferation, 1996 and OA/ID 2523 Restricted Group Meeting (Nonproliferation), 1995.; Pull OA/ID 2483 Nonproliferation, North Korea, and North Korea-Nuclear folders.; Use OA/ID 3032 Iran/Iraq folders and OA/ID 2639 CTBT/Chemical Weapons as secondary target lanes.",counterproliferation; restricted group; nonproliferation; North Korea nuclear; Iran; Iraq,,,,,,,,,,,,,,"Source: Clinton Presidential Library, 2013-0185-M folder-title lists, Part 2, OA/ID 2483. Folder-title request lead; verify exact box, folder title, item date, classification, and pagination on site."
60,Day 2,Day 2 / 10.02,B,Counterproliferation,Intelligence Programs counterproliferation and restricted-group files,OA/ID 2498,OA/ID request,Part 2,"Intelligence Programs / George Tenet, Rand Beers, Don Mitchell, Edward Appel",Use Intelligence Programs folders to replace generic counterproliferation chron-file hits with IC-facing policy and threat-assessment records.,"Counterproliferation needs intelligence support, WMD threat, and regional target records, not only PDD/NSC-18 public text.","Pull OA/ID 2498 Counterproliferation, 1996 and OA/ID 2523 Restricted Group Meeting (Nonproliferation), 1995.","Pull OA/ID 2498 Counterproliferation, 1996 and OA/ID 2523 Restricted Group Meeting (Nonproliferation), 1995.; Pull OA/ID 2483 Nonproliferation, North Korea, and North Korea-Nuclear folders.; Use OA/ID 3032 Iran/Iraq folders and OA/ID 2639 CTBT/Chemical Weapons as secondary target lanes.",counterproliferation; restricted group; nonproliferation; North Korea nuclear; Iran; Iraq,,,,,,,,,,,,,,"Source: Clinton Presidential Library, 2013-0185-M folder-title lists, Part 2, OA/ID 2498. Folder-title request lead; verify exact box, folder title, item date, classification, and pagination on site."
61,Day 2,Day 2 / 10.03,B,Counterproliferation,Intelligence Programs counterproliferation and restricted-group files,OA/ID 2523,OA/ID request,Part 2,"Intelligence Programs / George Tenet, Rand Beers, Don Mitchell, Edward Appel",Use Intelligence Programs folders to replace generic counterproliferation chron-file hits with IC-facing policy and threat-assessment records.,"Counterproliferation needs intelligence support, WMD threat, and regional target records, not only PDD/NSC-18 public text.","Pull OA/ID 2498 Counterproliferation, 1996 and OA/ID 2523 Restricted Group Meeting (Nonproliferation), 1995.","Pull OA/ID 2498 Counterproliferation, 1996 and OA/ID 2523 Restricted Group Meeting (Nonproliferation), 1995.; Pull OA/ID 2483 Nonproliferation, North Korea, and North Korea-Nuclear folders.; Use OA/ID 3032 Iran/Iraq folders and OA/ID 2639 CTBT/Chemical Weapons as secondary target lanes.",counterproliferation; restricted group; nonproliferation; North Korea nuclear; Iran; Iraq,,,,,,,,,,,,,,"Source: Clinton Presidential Library, 2013-0185-M folder-title lists, Part 2, OA/ID 2523. Folder-title request lead; verify exact box, folder title, item date, classification, and pagination on site."
62,Day 2,Day 2 / 10.04,B,Counterproliferation,Intelligence Programs counterproliferation and restricted-group files,OA/ID 2526,OA/ID request,Part 2,"Intelligence Programs / George Tenet, Rand Beers, Don Mitchell, Edward Appel",Use Intelligence Programs folders to replace generic counterproliferation chron-file hits with IC-facing policy and threat-assessment records.,"Counterproliferation needs intelligence support, WMD threat, and regional target records, not only PDD/NSC-18 public text.","Pull OA/ID 2498 Counterproliferation, 1996 and OA/ID 2523 Restricted Group Meeting (Nonproliferation), 1995.","Pull OA/ID 2498 Counterproliferation, 1996 and OA/ID 2523 Restricted Group Meeting (Nonproliferation), 1995.; Pull OA/ID 2483 Nonproliferation, North Korea, and North Korea-Nuclear folders.; Use OA/ID 3032 Iran/Iraq folders and OA/ID 2639 CTBT/Chemical Weapons as secondary target lanes.",counterproliferation; restricted group; nonproliferation; North Korea nuclear; Iran; Iraq,,,,,,,,,,,,,,"Source: Clinton Presidential Library, 2013-0185-M folder-title lists, Part 2, OA/ID 2526. Folder-title request lead; verify exact box, folder title, item date, classification, and pagination on site."
63,Day 2,Day 2 / 10.05,B,Counterproliferation,Intelligence Programs counterproliferation and restricted-group files,OA/ID 2639,OA/ID request,Part 2,"Intelligence Programs / George Tenet, Rand Beers, Don Mitchell, Edward Appel",Use Intelligence Programs folders to replace generic counterproliferation chron-file hits with IC-facing policy and threat-assessment records.,"Counterproliferation needs intelligence support, WMD threat, and regional target records, not only PDD/NSC-18 public text.","Pull OA/ID 2498 Counterproliferation, 1996 and OA/ID 2523 Restricted Group Meeting (Nonproliferation), 1995.","Pull OA/ID 2498 Counterproliferation, 1996 and OA/ID 2523 Restricted Group Meeting (Nonproliferation), 1995.; Pull OA/ID 2483 Nonproliferation, North Korea, and North Korea-Nuclear folders.; Use OA/ID 3032 Iran/Iraq folders and OA/ID 2639 CTBT/Chemical Weapons as secondary target lanes.",counterproliferation; restricted group; nonproliferation; North Korea nuclear; Iran; Iraq,,,,,,,,,,,,,,"Source: Clinton Presidential Library, 2013-0185-M folder-title lists, Part 2, OA/ID 2639. Folder-title request lead; verify exact box, folder title, item date, classification, and pagination on site."
64,Day 2,Day 2 / 10.06,B,Counterproliferation,Intelligence Programs counterproliferation and restricted-group files,OA/ID 3032,OA/ID request,Part 2,"Intelligence Programs / George Tenet, Rand Beers, Don Mitchell, Edward Appel",Use Intelligence Programs folders to replace generic counterproliferation chron-file hits with IC-facing policy and threat-assessment records.,"Counterproliferation needs intelligence support, WMD threat, and regional target records, not only PDD/NSC-18 public text.","Pull OA/ID 2498 Counterproliferation, 1996 and OA/ID 2523 Restricted Group Meeting (Nonproliferation), 1995.","Pull OA/ID 2498 Counterproliferation, 1996 and OA/ID 2523 Restricted Group Meeting (Nonproliferation), 1995.; Pull OA/ID 2483 Nonproliferation, North Korea, and North Korea-Nuclear folders.; Use OA/ID 3032 Iran/Iraq folders and OA/ID 2639 CTBT/Chemical Weapons as secondary target lanes.",counterproliferation; restricted group; nonproliferation; North Korea nuclear; Iran; Iraq,,,,,,,,,,,,,,"Source: Clinton Presidential Library, 2013-0185-M folder-title lists, Part 2, OA/ID 3032. Folder-title request lead; verify exact box, folder title, item date, classification, and pagination on site."
65,Day 2,Day 2 / 11.01,B,Conventional Arms and Landmines,"Landmines, NSC policy papers, demining, and conventional arms transfer",OA/ID 938,OA/ID request,"Parts 1, 2, 3, and 4","Defense Policy, Staff Director, European Affairs, Multilateral & Humanitarian Affairs","Pull landmine policy folders after the nuclear/CBW/regional A-priority folders, with emphasis on 1995-1996 NSC policy papers and outside-agency files.","The conventional chapter was nearly empty; these rows expose the staff and agency lanes for PDD-48, demining, Ottawa, and allied effects.","Start with OA/ID 1405 Landmines 1996, Landmines-NSC Policy Papers, and Landmines-Papers from Outside Agencies.","Start with OA/ID 1405 Landmines 1996, Landmines-NSC Policy Papers, and Landmines-Papers from Outside Agencies.; Pull OA/ID 3335 Landmines-Demining R&D, V. IWG meetings, Ottawa/effect on allies, demining assistance, and military alternatives.; Use OA/ID 2193 APL and CWC only if the European Affairs lane looks relevant to allied reaction.",landmines; NSC policy papers; demining; Ottawa; outside agencies; APL,,,,,,,,,,,,,,"Source: Clinton Presidential Library, 2013-0185-M folder-title lists, Parts 1, 2, 3, and 4, OA/ID 938. Folder-title request lead; verify exact box, folder title, item date, classification, and pagination on site."
66,Day 2,Day 2 / 11.02,B,Conventional Arms and Landmines,"Landmines, NSC policy papers, demining, and conventional arms transfer",OA/ID 1161,OA/ID request,"Parts 1, 2, 3, and 4","Defense Policy, Staff Director, European Affairs, Multilateral & Humanitarian Affairs","Pull landmine policy folders after the nuclear/CBW/regional A-priority folders, with emphasis on 1995-1996 NSC policy papers and outside-agency files.","The conventional chapter was nearly empty; these rows expose the staff and agency lanes for PDD-48, demining, Ottawa, and allied effects.","Start with OA/ID 1405 Landmines 1996, Landmines-NSC Policy Papers, and Landmines-Papers from Outside Agencies.","Start with OA/ID 1405 Landmines 1996, Landmines-NSC Policy Papers, and Landmines-Papers from Outside Agencies.; Pull OA/ID 3335 Landmines-Demining R&D, V. IWG meetings, Ottawa/effect on allies, demining assistance, and military alternatives.; Use OA/ID 2193 APL and CWC only if the European Affairs lane looks relevant to allied reaction.",landmines; NSC policy papers; demining; Ottawa; outside agencies; APL,,,,,,,,,,,,,,"Source: Clinton Presidential Library, 2013-0185-M folder-title lists, Parts 1, 2, 3, and 4, OA/ID 1161. Folder-title request lead; verify exact box, folder title, item date, classification, and pagination on site."
67,Day 2,Day 2 / 11.03,B,Conventional Arms and Landmines,"Landmines, NSC policy papers, demining, and conventional arms transfer",OA/ID 1405,OA/ID request,"Parts 1, 2, 3, and 4","Defense Policy, Staff Director, European Affairs, Multilateral & Humanitarian Affairs","Pull landmine policy folders after the nuclear/CBW/regional A-priority folders, with emphasis on 1995-1996 NSC policy papers and outside-agency files.","The conventional chapter was nearly empty; these rows expose the staff and agency lanes for PDD-48, demining, Ottawa, and allied effects.","Start with OA/ID 1405 Landmines 1996, Landmines-NSC Policy Papers, and Landmines-Papers from Outside Agencies.","Start with OA/ID 1405 Landmines 1996, Landmines-NSC Policy Papers, and Landmines-Papers from Outside Agencies.; Pull OA/ID 3335 Landmines-Demining R&D, V. IWG meetings, Ottawa/effect on allies, demining assistance, and military alternatives.; Use OA/ID 2193 APL and CWC only if the European Affairs lane looks relevant to allied reaction.",landmines; NSC policy papers; demining; Ottawa; outside agencies; APL,,,,,,,,,,,,,,"Source: Clinton Presidential Library, 2013-0185-M folder-title lists, Parts 1, 2, 3, and 4, OA/ID 1405. Folder-title request lead; verify exact box, folder title, item date, classification, and pagination on site."
68,Day 2,Day 2 / 11.04,B,Conventional Arms and Landmines,"Landmines, NSC policy papers, demining, and conventional arms transfer",OA/ID 1721,OA/ID request,"Parts 1, 2, 3, and 4","Defense Policy, Staff Director, European Affairs, Multilateral & Humanitarian Affairs","Pull landmine policy folders after the nuclear/CBW/regional A-priority folders, with emphasis on 1995-1996 NSC policy papers and outside-agency files.","The conventional chapter was nearly empty; these rows expose the staff and agency lanes for PDD-48, demining, Ottawa, and allied effects.","Start with OA/ID 1405 Landmines 1996, Landmines-NSC Policy Papers, and Landmines-Papers from Outside Agencies.","Start with OA/ID 1405 Landmines 1996, Landmines-NSC Policy Papers, and Landmines-Papers from Outside Agencies.; Pull OA/ID 3335 Landmines-Demining R&D, V. IWG meetings, Ottawa/effect on allies, demining assistance, and military alternatives.; Use OA/ID 2193 APL and CWC only if the European Affairs lane looks relevant to allied reaction.",landmines; NSC policy papers; demining; Ottawa; outside agencies; APL,,,,,,,,,,,,,,"Source: Clinton Presidential Library, 2013-0185-M folder-title lists, Parts 1, 2, 3, and 4, OA/ID 1721. Folder-title request lead; verify exact box, folder title, item date, classification, and pagination on site."
69,Day 2,Day 2 / 11.05,B,Conventional Arms and Landmines,"Landmines, NSC policy papers, demining, and conventional arms transfer",OA/ID 2193,OA/ID request,"Parts 1, 2, 3, and 4","Defense Policy, Staff Director, European Affairs, Multilateral & Humanitarian Affairs","Pull landmine policy folders after the nuclear/CBW/regional A-priority folders, with emphasis on 1995-1996 NSC policy papers and outside-agency files.","The conventional chapter was nearly empty; these rows expose the staff and agency lanes for PDD-48, demining, Ottawa, and allied effects.","Start with OA/ID 1405 Landmines 1996, Landmines-NSC Policy Papers, and Landmines-Papers from Outside Agencies.","Start with OA/ID 1405 Landmines 1996, Landmines-NSC Policy Papers, and Landmines-Papers from Outside Agencies.; Pull OA/ID 3335 Landmines-Demining R&D, V. IWG meetings, Ottawa/effect on allies, demining assistance, and military alternatives.; Use OA/ID 2193 APL and CWC only if the European Affairs lane looks relevant to allied reaction.",landmines; NSC policy papers; demining; Ottawa; outside agencies; APL,,,,,,,,,,,,,,"Source: Clinton Presidential Library, 2013-0185-M folder-title lists, Parts 1, 2, 3, and 4, OA/ID 2193. Folder-title request lead; verify exact box, folder title, item date, classification, and pagination on site."
70,Day 2,Day 2 / 11.06,B,Conventional Arms and Landmines,"Landmines, NSC policy papers, demining, and conventional arms transfer",OA/ID 2549,OA/ID request,"Parts 1, 2, 3, and 4","Defense Policy, Staff Director, European Affairs, Multilateral & Humanitarian Affairs","Pull landmine policy folders after the nuclear/CBW/regional A-priority folders, with emphasis on 1995-1996 NSC policy papers and outside-agency files.","The conventional chapter was nearly empty; these rows expose the staff and agency lanes for PDD-48, demining, Ottawa, and allied effects.","Start with OA/ID 1405 Landmines 1996, Landmines-NSC Policy Papers, and Landmines-Papers from Outside Agencies.","Start with OA/ID 1405 Landmines 1996, Landmines-NSC Policy Papers, and Landmines-Papers from Outside Agencies.; Pull OA/ID 3335 Landmines-Demining R&D, V. IWG meetings, Ottawa/effect on allies, demining assistance, and military alternatives.; Use OA/ID 2193 APL and CWC only if the European Affairs lane looks relevant to allied reaction.",landmines; NSC policy papers; demining; Ottawa; outside agencies; APL,,,,,,,,,,,,,,"Source: Clinton Presidential Library, 2013-0185-M folder-title lists, Parts 1, 2, 3, and 4, OA/ID 2549. Folder-title request lead; verify exact box, folder title, item date, classification, and pagination on site."
71,Day 2,Day 2 / 11.07,B,Conventional Arms and Landmines,"Landmines, NSC policy papers, demining, and conventional arms transfer",OA/ID 3335,OA/ID request,"Parts 1, 2, 3, and 4","Defense Policy, Staff Director, European Affairs, Multilateral & Humanitarian Affairs","Pull landmine policy folders after the nuclear/CBW/regional A-priority folders, with emphasis on 1995-1996 NSC policy papers and outside-agency files.","The conventional chapter was nearly empty; these rows expose the staff and agency lanes for PDD-48, demining, Ottawa, and allied effects.","Start with OA/ID 1405 Landmines 1996, Landmines-NSC Policy Papers, and Landmines-Papers from Outside Agencies.","Start with OA/ID 1405 Landmines 1996, Landmines-NSC Policy Papers, and Landmines-Papers from Outside Agencies.; Pull OA/ID 3335 Landmines-Demining R&D, V. IWG meetings, Ottawa/effect on allies, demining assistance, and military alternatives.; Use OA/ID 2193 APL and CWC only if the European Affairs lane looks relevant to allied reaction.",landmines; NSC policy papers; demining; Ottawa; outside agencies; APL,,,,,,,,,,,,,,"Source: Clinton Presidential Library, 2013-0185-M folder-title lists, Parts 1, 2, 3, and 4, OA/ID 3335. Folder-title request lead; verify exact box, folder title, item date, classification, and pagination on site."
72,Day 2,Day 2 / 11.08,B,Conventional Arms and Landmines,"Landmines, NSC policy papers, demining, and conventional arms transfer",OA/ID 4151,OA/ID request,"Parts 1, 2, 3, and 4","Defense Policy, Staff Director, European Affairs, Multilateral & Humanitarian Affairs","Pull landmine policy folders after the nuclear/CBW/regional A-priority folders, with emphasis on 1995-1996 NSC policy papers and outside-agency files.","The conventional chapter was nearly empty; these rows expose the staff and agency lanes for PDD-48, demining, Ottawa, and allied effects.","Start with OA/ID 1405 Landmines 1996, Landmines-NSC Policy Papers, and Landmines-Papers from Outside Agencies.","Start with OA/ID 1405 Landmines 1996, Landmines-NSC Policy Papers, and Landmines-Papers from Outside Agencies.; Pull OA/ID 3335 Landmines-Demining R&D, V. IWG meetings, Ottawa/effect on allies, demining assistance, and military alternatives.; Use OA/ID 2193 APL and CWC only if the European Affairs lane looks relevant to allied reaction.",landmines; NSC policy papers; demining; Ottawa; outside agencies; APL,,,,,,,,,,,,,,"Source: Clinton Presidential Library, 2013-0185-M folder-title lists, Parts 1, 2, 3, and 4, OA/ID 4151. Folder-title request lead; verify exact box, folder title, item date, classification, and pagination on site."
73,Day 2,Day 2 / 12.01,B,Nonproliferation Regimes,Legal Advisor treaty and sanctions stack,OA/ID 1007,OA/ID request,Part 3,"Legal Advisor / Baker, Krass, DeRosa, Sparks","Pull legal files after policy folders identify decision points. Use them for treaty interpretation, executive orders, sanctions, and implementation source notes.","The legal files can close citation gaps on CWC regulations, BWC, CTBT, START II, ABM/NMD, HEU executive orders, and Iran missile sanctions.","Use Legal Advisor files to verify legal authority, implementation language, and executive-order handling.","Use Legal Advisor files to verify legal authority, implementation language, and executive-order handling.; Prioritize CWC, BWC, CTBT, START II, HEU, WMD, and Iran missile sanctions folders.; Avoid spending first-day time on broad legal files unless they connect to a known decision date.",CWC; BWC; CTBT; START II; ABM; HEU; WMD; Iran missile sanctions,,,,,,,,,,,,,,"Source: Clinton Presidential Library, 2013-0185-M folder-title lists, Part 3, OA/ID 1007. Folder-title request lead; verify exact box, folder title, item date, classification, and pagination on site."
74,Day 2,Day 2 / 12.02,B,Nonproliferation Regimes,Legal Advisor treaty and sanctions stack,OA/ID 2251,OA/ID request,Part 3,"Legal Advisor / Baker, Krass, DeRosa, Sparks","Pull legal files after policy folders identify decision points. Use them for treaty interpretation, executive orders, sanctions, and implementation source notes.","The legal files can close citation gaps on CWC regulations, BWC, CTBT, START II, ABM/NMD, HEU executive orders, and Iran missile sanctions.","Use Legal Advisor files to verify legal authority, implementation language, and executive-order handling.","Use Legal Advisor files to verify legal authority, implementation language, and executive-order handling.; Prioritize CWC, BWC, CTBT, START II, HEU, WMD, and Iran missile sanctions folders.; Avoid spending first-day time on broad legal files unless they connect to a known decision date.",CWC; BWC; CTBT; START II; ABM; HEU; WMD; Iran missile sanctions,,,,,,,,,,,,,,"Source: Clinton Presidential Library, 2013-0185-M folder-title lists, Part 3, OA/ID 2251. Folder-title request lead; verify exact box, folder title, item date, classification, and pagination on site."
75,Day 2,Day 2 / 12.03,B,Nonproliferation Regimes,Legal Advisor treaty and sanctions stack,OA/ID 2252,OA/ID request,Part 3,"Legal Advisor / Baker, Krass, DeRosa, Sparks","Pull legal files after policy folders identify decision points. Use them for treaty interpretation, executive orders, sanctions, and implementation source notes.","The legal files can close citation gaps on CWC regulations, BWC, CTBT, START II, ABM/NMD, HEU executive orders, and Iran missile sanctions.","Use Legal Advisor files to verify legal authority, implementation language, and executive-order handling.","Use Legal Advisor files to verify legal authority, implementation language, and executive-order handling.; Prioritize CWC, BWC, CTBT, START II, HEU, WMD, and Iran missile sanctions folders.; Avoid spending first-day time on broad legal files unless they connect to a known decision date.",CWC; BWC; CTBT; START II; ABM; HEU; WMD; Iran missile sanctions,,,,,,,,,,,,,,"Source: Clinton Presidential Library, 2013-0185-M folder-title lists, Part 3, OA/ID 2252. Folder-title request lead; verify exact box, folder title, item date, classification, and pagination on site."
76,Day 2,Day 2 / 12.04,B,Nonproliferation Regimes,Legal Advisor treaty and sanctions stack,OA/ID 2471,OA/ID request,Part 3,"Legal Advisor / Baker, Krass, DeRosa, Sparks","Pull legal files after policy folders identify decision points. Use them for treaty interpretation, executive orders, sanctions, and implementation source notes.","The legal files can close citation gaps on CWC regulations, BWC, CTBT, START II, ABM/NMD, HEU executive orders, and Iran missile sanctions.","Use Legal Advisor files to verify legal authority, implementation language, and executive-order handling.","Use Legal Advisor files to verify legal authority, implementation language, and executive-order handling.; Prioritize CWC, BWC, CTBT, START II, HEU, WMD, and Iran missile sanctions folders.; Avoid spending first-day time on broad legal files unless they connect to a known decision date.",CWC; BWC; CTBT; START II; ABM; HEU; WMD; Iran missile sanctions,,,,,,,,,,,,,,"Source: Clinton Presidential Library, 2013-0185-M folder-title lists, Part 3, OA/ID 2471. Folder-title request lead; verify exact box, folder title, item date, classification, and pagination on site."
77,Day 2,Day 2 / 12.05,B,Nonproliferation Regimes,Legal Advisor treaty and sanctions stack,OA/ID 2600,OA/ID request,Part 3,"Legal Advisor / Baker, Krass, DeRosa, Sparks","Pull legal files after policy folders identify decision points. Use them for treaty interpretation, executive orders, sanctions, and implementation source notes.","The legal files can close citation gaps on CWC regulations, BWC, CTBT, START II, ABM/NMD, HEU executive orders, and Iran missile sanctions.","Use Legal Advisor files to verify legal authority, implementation language, and executive-order handling.","Use Legal Advisor files to verify legal authority, implementation language, and executive-order handling.; Prioritize CWC, BWC, CTBT, START II, HEU, WMD, and Iran missile sanctions folders.; Avoid spending first-day time on broad legal files unless they connect to a known decision date.",CWC; BWC; CTBT; START II; ABM; HEU; WMD; Iran missile sanctions,,,,,,,,,,,,,,"Source: Clinton Presidential Library, 2013-0185-M folder-title lists, Part 3, OA/ID 2600. Folder-title request lead; verify exact box, folder title, item date, classification, and pagination on site."
78,Day 2,Day 2 / 12.06,B,Nonproliferation Regimes,Legal Advisor treaty and sanctions stack,OA/ID 3110,OA/ID request,Part 3,"Legal Advisor / Baker, Krass, DeRosa, Sparks","Pull legal files after policy folders identify decision points. Use them for treaty interpretation, executive orders, sanctions, and implementation source notes.","The legal files can close citation gaps on CWC regulations, BWC, CTBT, START II, ABM/NMD, HEU executive orders, and Iran missile sanctions.","Use Legal Advisor files to verify legal authority, implementation language, and executive-order handling.","Use Legal Advisor files to verify legal authority, implementation language, and executive-order handling.; Prioritize CWC, BWC, CTBT, START II, HEU, WMD, and Iran missile sanctions folders.; Avoid spending first-day time on broad legal files unless they connect to a known decision date.",CWC; BWC; CTBT; START II; ABM; HEU; WMD; Iran missile sanctions,,,,,,,,,,,,,,"Source: Clinton Presidential Library, 2013-0185-M folder-title lists, Part 3, OA/ID 3110. Folder-title request lead; verify exact box, folder title, item date, classification, and pagination on site."
79,Day 2,Day 2 / 12.07,B,Nonproliferation Regimes,Legal Advisor treaty and sanctions stack,OA/ID 3111,OA/ID request,Part 3,"Legal Advisor / Baker, Krass, DeRosa, Sparks","Pull legal files after policy folders identify decision points. Use them for treaty interpretation, executive orders, sanctions, and implementation source notes.","The legal files can close citation gaps on CWC regulations, BWC, CTBT, START II, ABM/NMD, HEU executive orders, and Iran missile sanctions.","Use Legal Advisor files to verify legal authority, implementation language, and executive-order handling.","Use Legal Advisor files to verify legal authority, implementation language, and executive-order handling.; Prioritize CWC, BWC, CTBT, START II, HEU, WMD, and Iran missile sanctions folders.; Avoid spending first-day time on broad legal files unless they connect to a known decision date.",CWC; BWC; CTBT; START II; ABM; HEU; WMD; Iran missile sanctions,,,,,,,,,,,,,,"Source: Clinton Presidential Library, 2013-0185-M folder-title lists, Part 3, OA/ID 3111. Folder-title request lead; verify exact box, folder title, item date, classification, and pagination on site."
